timestamp;type;SSRC;peerSSRC;rxrtpTS;txrtpTS;rxPacket;rxBytes;txPackets;txBytes;PacketLost;Jitter;peerPacketLost;peerJitter;rxNACK;txNACK;rxFIR;txFIR;rxPLI;txPLI;rxREMB;txREMB
1069;audio;998159128;2021006612;2876844816;0;31;4960;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2178;audio;998159128;2021006612;2876853776;0;87;13920;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3286;audio;998159128;2021006612;2876862576;0;142;22720;0;0;0;0;0;0;0;0;0;0;0;0;0;0
4390;audio;998159128;2021006612;2876871376;0;197;31520;0;0;0;0;0;0;0;0;0;0;0;0;0;0
5493;audio;998159128;2021006612;2876880176;0;252;40320;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6607;audio;998159128;2021006612;2876889136;0;304;48640;0;0;7;0;0;0;0;0;0;0;0;0;0;0
7715;audio;998159128;2021006612;2876897936;4160;359;57440;26;4160;0;0;0;0;0;0;0;0;0;0;0;0
8823;audio;998159128;2021006612;2876906896;12960;415;66400;81;12960;0;0;0;0;0;0;0;0;0;0;0;0
9923;audio;998159128;2021006612;2876915696;21760;470;75200;136;21760;0;0;0;0;0;0;0;0;0;0;0;0
11022;audio;998159128;2021006612;2876924496;30560;525;84000;191;30560;0;0;0;0;0;0;0;0;0;0;0;0
12127;audio;998159128;2021006612;2876933296;30720;580;92800;192;30720;0;0;0;0;0;0;0;0;0;0;0;0
